conjunto,y_real,y_pred_proba,y_pred_binario
treino,0,7.949681e-07,0
treino,1,1.0,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,1.0,1
treino,0,4.3197597e-06,0
treino,0,5.739376e-06,0
treino,1,1.0,1
treino,0,2.6054303e-07,0
treino,1,1.0,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,0.9995117,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,0.9999999,1
treino,1,1.0,1
treino,0,1.7616819e-06,0
treino,1,1.0,1
treino,1,0.9998364,1
treino,0,1.9569336e-08,0
treino,1,1.0,1
treino,1,1.0,1
treino,1,0.999993,1
treino,0,1.0476013e-11,0
treino,1,1.0,1
treino,1,1.0,1
treino,0,1.437327e-08,0
treino,1,0.99999964,1
treino,1,1.0,1
treino,0,3.969249e-05,0
treino,0,2.4278893e-06,0
treino,1,0.9999996,1
treino,0,4.569697e-12,0
treino,1,1.0,1
treino,1,0.9999964,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,0.9999996,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,1.0,1
treino,1,0.9996898,1
treino,1,1.0,1
treino,0,2.3710962e-05,0
treino,0,1.1282112e-09,0
treino,1,1.0,1
treino,1,1.0,1
treino,0,1.0431286e-12,0
treino,1,1.0,1
treino,0,1.1473495e-16,0
treino,1,1.0,1
treino,1,0.9993153,1
validacao,1,1.0,1
validacao,0,7.264013e-07,0
validacao,1,1.0,1
validacao,1,1.0,1
validacao,1,1.0,1
validacao,1,1.0,1
validacao,0,7.501556e-10,0
validacao,1,1.0,1
validacao,1,1.0,1
validacao,1,0.9999568,1
validacao,1,1.0,1
validacao,1,1.0,1
validacao,0,0.0003163383,0
validacao,0,0.00029368067,0
teste,1,1.0,1
teste,1,0.99931264,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,0,1.33445e-07,0
teste,0,7.825865e-22,0
teste,1,1.0,1
teste,1,1.0,1
teste,0,1.8135106e-11,0
teste,1,1.0,1
teste,1,1.0,1
teste,0,2.6349731e-09,0
teste,1,1.0,1
teste,1,0.9999931,1
teste,0,5.804256e-14,0
teste,1,0.9912586,1
teste,1,0.080990314,0
teste,1,1.0,1
teste,0,6.082958e-10,0
teste,0,1.1341434e-05,0
teste,1,0.99999124,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,1,1.0,1
teste,0,8.7438805e-15,0
